Time,"638de4c468f31919048f189c, 63932c8868f319085df375bf; B1_4xAA, Soil_tension","638de4c468f31919048f189c, 63932c8868f319085df375c1; B1_4xAA, Resistance","638de4c468f31919048f189c, 63932c8868f319085df375c3; B1_4xAA, Soil_temperature","638de4c468f31919048f189c, 63932c8868f319085df375c7; B1_4xAA, Battery_voltage","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de53168f31919048f189d, 63932c6e68f319085df375bd; B2_solar_x2_03, Battery_voltage","638de56a68f31919048f189e, 63932ce468f319085df375c9; B3_solar_x1_02, Soil_tension","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de56a68f31919048f189e, 63932ce468f319085df375cd; B3_solar_x1_02, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375d1; B3_solar_x1_02, Battery_voltage","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature","638de57568f31919048f189f, 63932c3668f319085df375b3; B4_solar_x1_03, Battery_voltage"
2023-02-08 15:30:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.15,122.7,28,4.03,9.8,129.5,12.6,4.06
2023-02-08 15:40:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.15,122.7,28,4.03,9.8,129.5,12.6,4.06
2023-02-08 15:50:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.1,122.6,28,4.03,9.8,129.5,12.6,4.06
2023-02-08 16:00:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.15,122.7,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 16:10:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.15,122.7,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 16:20:00 +0000 UTC,,,,,5.975,84.3,12,3.93,117.15,122.7,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 16:30:00 +0000 UTC,,,,,5.95,84.3,12,3.93,117.175,122.95,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 16:40:00 +0000 UTC,,,,,6,84.3,12,3.93,117.15,122.7,28,4.03,9.9,130.2,12.6,4.05
2023-02-08 16:50:00 +0000 UTC,,,,,6,84.3,12,3.92,117.2,123.3,28,4.03,9.8,129.60001,12.6,4.05
2023-02-08 17:00:00 +0000 UTC,,,,,6,84.3,11.9,3.92,117.2,123.2,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 17:10:00 +0000 UTC,,,,,6,84.3,12,3.92,117.15,122.7,28,4.03,9.8,129.5,12.6,4.05
2023-02-08 17:20:00 +0000 UTC,,,,,6,84.3,12,3.92,117.15,122.7,28,4.03,9.8,129.5,12.6,4.05
