"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-08 15:30:00 +0000 UTC",5.95,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 15:40:00 +0000 UTC",5.95,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 15:50:00 +0000 UTC",5.95,84.3,12,122.6,9.8,129.5,12.6
"2023-02-08 16:00:00 +0000 UTC",5.95,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 16:10:00 +0000 UTC",5.95,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 16:20:00 +0000 UTC",5.975,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 16:30:00 +0000 UTC",5.95,84.3,12,122.95,9.8,129.5,12.6
"2023-02-08 16:40:00 +0000 UTC",6,84.3,12,122.7,9.9,130.2,12.6
"2023-02-08 16:50:00 +0000 UTC",6,84.3,12,123.3,9.8,129.60001,12.6
"2023-02-08 17:00:00 +0000 UTC",6,84.3,11.9,123.2,9.8,129.5,12.6
"2023-02-08 17:10:00 +0000 UTC",6,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 17:20:00 +0000 UTC",6,84.3,12,122.7,9.8,129.5,12.6
"2023-02-08 17:30:00 +0000 UTC",6,84.3,12,122.7,9.8,129.6,12.6
"2023-02-08 17:40:00 +0000 UTC",6,84.3,11.9,123.2,9.9,130.10001,12.6
"2023-02-08 17:50:00 +0000 UTC",6,84.3,12,122.8,9.8,129.10001,12.6
"2023-02-08 18:00:00 +0000 UTC",6.1,84.8,11.9,122.8,9.8,129.60001,12.6
"2023-02-08 18:10:00 +0000 UTC",6,84.3,11.9,123.3,9.9,130.10001,12.6
"2023-02-08 18:20:00 +0000 UTC",6,84.3,11.9,123.9,9.8,129.7,12.6
"2023-02-08 18:30:00 +0000 UTC",6.1,84.9,11.8,123.3,9.8,129.60001,12.6
"2023-02-08 18:40:00 +0000 UTC",6,84.3,11.8,123.3,9.8,129.7,12.6
"2023-02-08 18:50:00 +0000 UTC",6.1,84.9,11.8,123.3,9.8,129.7,12.6
"2023-02-08 19:00:00 +0000 UTC",6,84.3,11.8,123.3,9.8,129.7,12.6
"2023-02-08 19:10:00 +0000 UTC",6,84.3,11.8,123.3,9.8,129.7,12.5
"2023-02-08 19:20:00 +0000 UTC",6,84.3,11.8,123.4,9.8,129.7,12.5
"2023-02-08 19:30:00 +0000 UTC",6,84.3,11.8,123.9,9.9,130.2,12.5
"2023-02-08 19:40:00 +0000 UTC",6.1,84.9,11.7,124.2,9.9,130.2,12.5
"2023-02-08 19:50:00 +0000 UTC",6,84.3,11.8,124.5,9.8,129.7,12.5
"2023-02-08 20:00:00 +0000 UTC",6,84.3,11.7,124.5,9.8,129.7,12.5
"2023-02-08 20:10:00 +0000 UTC",6.05,84.6,11.65,124.5,,,
"2023-02-08 20:20:00 +0000 UTC",6.1,84.9,11.6,124.5,9.8,130.2,12.5
"2023-02-08 20:30:00 +0000 UTC",6.1,84.9,11.6,123.9,9.8,129.7,12.5
"2023-02-08 20:40:00 +0000 UTC",6.1,84.9,11.6,124.5,9.8,130.2,12.5
"2023-02-08 20:50:00 +0000 UTC",6.1,84.9,11.6,124.5,9.9,130.8,12.5
"2023-02-08 21:00:00 +0000 UTC",6.1,84.9,11.6,124.5,9.8,130.2,12.45
"2023-02-08 21:10:00 +0000 UTC",6.1,84.9,11.6,125.1,9.8,129.8,12.4
"2023-02-08 21:20:00 +0000 UTC",6.2,85.4,11.6,124.5,9.8,129.8,12.4
"2023-02-08 21:30:00 +0000 UTC",6.1,84.9,11.6,125.1,9.8,130.3,12.4
"2023-02-08 21:40:00 +0000 UTC",6.1,84.9,11.6,125.6,9.8,129.8,12.4
"2023-02-08 21:50:00 +0000 UTC",6.2,85.4,11.5,125.1,9.8,130.3,12.4
"2023-02-08 22:00:00 +0000 UTC",6.2,85.4,11.5,125.7,9.8,130.39999,12.4
"2023-02-08 22:10:00 +0000 UTC",6.2,85.4,11.5,125.7,9.9,130.89999,12.3
"2023-02-08 22:20:00 +0000 UTC",6.2,85.4,11.5,125.7,9.9,132,12.3
"2023-02-08 22:30:00 +0000 UTC",6.2,85.4,11.5,125.7,9.8,129.8,12.3
"2023-02-08 22:40:00 +0000 UTC",6.2,85.4,11.4,125.2,9.8,130.39999,12.3
"2023-02-08 22:50:00 +0000 UTC",6.2,85.5,11.4,125.45,9.8,130.39999,12.3
"2023-02-08 23:00:00 +0000 UTC",6.2,85.4,11.4,125.7,9.85,130.89999,12.3
"2023-02-08 23:10:00 +0000 UTC",6.2,85.5,11.4,125.8,9.8,130.89999,12.3
"2023-02-08 23:20:00 +0000 UTC",6.2,85.5,11.3,125.8,9.8,130.89999,12.3
"2023-02-08 23:30:00 +0000 UTC",6.2,85.5,11.3,126.9,9.8,130.89999,12.3
"2023-02-08 23:40:00 +0000 UTC",6.2,85.5,11.3,125.8,9.9,131.5,12.3
"2023-02-08 23:50:00 +0000 UTC",6.2,85.5,11.3,126.9,9.8,130.89999,12.2
"2023-02-09 00:00:00 +0000 UTC",6.2,85.5,11.3,126.4,9.8,130.89999,12.2
"2023-02-09 00:10:00 +0000 UTC",6.2,85.5,11.3,126.4,9.9,131.5,12.2
"2023-02-09 00:20:00 +0000 UTC",6.2,85.5,11.3,126.4,9.8,130.89999,12.2
"2023-02-09 00:30:00 +0000 UTC",6.2,85.5,11.2,126.4,9.85,131.5,12.1
"2023-02-09 00:40:00 +0000 UTC",6.2,85.5,11.2,126.9,9.85,131.25,12.1
"2023-02-09 00:50:00 +0000 UTC",6.4,86,11.2,126.4,9.9,131.60001,12.1
"2023-02-09 01:00:00 +0000 UTC",6.2,85.5,11.1,127.6,9.9,131.60001,12.1
"2023-02-09 01:10:00 +0000 UTC",6.4,86.1,11.1,126.9,9.8,131.10001,12.1
"2023-02-09 01:20:00 +0000 UTC",6.2,85.5,11.1,127,9.9,132,12.1
"2023-02-09 01:30:00 +0000 UTC",6.2,85.5,11.1,127,9.9,132.60001,12.1
"2023-02-09 01:40:00 +0000 UTC",,,,127,9.9,132.2,12.1
"2023-02-09 01:50:00 +0000 UTC",6.4,86.1,11.1,127.6,9.9,132.2,12
"2023-02-09 02:00:00 +0000 UTC",6.4,86.1,11.1,127.35,9.9,132.2,12.1
"2023-02-09 02:10:00 +0000 UTC",6.4,86.1,11.1,128.2,9.9,132.60001,12
"2023-02-09 02:20:00 +0000 UTC",6.4,86,11.1,128.2,9.9,132.2,12
"2023-02-09 02:30:00 +0000 UTC",6.4,86.1,11.1,127.6,9.9,132.2,12
