Time,65cf65e768f3190791a064db; 65cf704368f3190791a064df / Soil_Tensiometer_F5; Soil_tension_sensor / SoilHumiditySensor,65cf65fc68f3190791a064dc; 65cf762b68f3190791a064e7 / Soil_Tensiometer_F6; Soil_tension_sensor / SoilHumiditySensor,65cf660468f3190791a064dd; 65d4b63e68f3190734a4fcf8 / Soil_Tensiometer_x2_F7; Soil_tension_sensor_1 / SoilHumiditySensor,65cf660468f3190791a064dd; 65d4b63e68f3190734a4fcfc / Soil_Tensiometer_x2_F7; Soil_tension_sensor_2 / SoilHumiditySensor,mean_of_tension,65cf65e768f3190791a064db; 65cf704368f3190791a064df / Soil_Tensiometer_F5; Soil_tension_sensor / SoilHumiditySensor_vol,65cf65fc68f3190791a064dc; 65cf762b68f3190791a064e7 / Soil_Tensiometer_F6; Soil_tension_sensor / SoilHumiditySensor_vol,65cf660468f3190791a064dd; 65d4b63e68f3190734a4fcf8 / Soil_Tensiometer_x2_F7; Soil_tension_sensor_1 / SoilHumiditySensor_vol,65cf660468f3190791a064dd; 65d4b63e68f3190734a4fcfc / Soil_Tensiometer_x2_F7; Soil_tension_sensor_2 / SoilHumiditySensor_vol,mean_of_volumetric
2024-02-22 00:00:00+01:00,,10.903703703703703,6.496296296296297,7.8,8.4,,0.2886,0.3132,0.3059,0.30256666666666665
2024-02-23 00:00:00+01:00,9.8,12.037037037037036,9.881481481481481,9.507407407407406,10.30648148148148,0.2947,0.2824,0.2943,0.2963,0.291925
2024-02-24 00:00:00+01:00,10.3,12.885185185185184,10.444444444444445,9.340740740740742,10.742592592592592,0.2919,0.2777,0.2911,0.2973,0.2895
2024-02-25 00:00:00+01:00,,13.61111111111111,11.040740740740741,10.362962962962964,11.671604938271605,,0.2738,0.2879,0.2916,0.2844333333333333
2024-02-26 00:00:00+01:00,,15.803703703703704,11.474074074074075,11.08148148148148,12.78641975308642,,0.262,0.2855,0.2876,0.27836666666666665
2024-02-27 00:00:00+01:00,,18.61923076923077,12.218518518518518,11.844444444444445,14.227397910731247,,0.2471,0.2814,0.2834,0.27063333333333334
2024-02-28 00:00:00+01:00,,22.653333333333332,12.907142857142858,12.957142857142857,16.172539682539682,,0.2266,0.2776,0.2773,0.2605
2024-02-29 00:00:00+01:00,,,,,,,,,,
2024-03-01 00:00:00+01:00,,,,,,,,,,
2024-03-02 00:00:00+01:00,,,,,,,,,,
2024-03-03 00:00:00+01:00,,,,,,,,,,
2024-03-04 00:00:00+01:00,,,,,,,,,,
2024-03-05 00:00:00+01:00,,,,,,,,,,
2024-03-06 00:00:00+01:00,,,,,,,,,,
2024-03-07 00:00:00+01:00,,,,,,,,,,
2024-03-08 00:00:00+01:00,,,,,,,,,,
2024-03-09 00:00:00+01:00,,,,,,,,,,
2024-03-10 00:00:00+01:00,,,,,,,,,,
2024-03-11 00:00:00+01:00,,,,,,,,,,
