TIME_COPY,638de53168f31919048f189d; 63932c6e68f319085df375b5 / B2_solar_x2_03; Soil_tension / SoilHumiditySensor,638de53168f31919048f189d; 63932c6e68f319085df375b7 / B2_solar_x2_03; Resistance / ,638de53168f31919048f189d; 63932c6e68f319085df375b9 / B2_solar_x2_03; Soil_temperature / SoilThermometer,638de56a68f31919048f189e; 63932ce468f319085df375c9 / B3_solar_x1_02; Soil_tension / SoilHumiditySensor,638de56a68f31919048f189e; 63932ce468f319085df375cb / B3_solar_x1_02; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375ab / B4_solar_x1_03; Soil_tension / SoilHumiditySensor,638de57568f31919048f189f; 63932c3668f319085df375ad / B4_solar_x1_03; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375af / B4_solar_x1_03; Soil_temperature / SoilThermometer,Température extérieure(°C),Humidité extérieure(%),Pression relative(hpa),Pression absolue(hpa),Vitesse du vent(km/h),Rafale(km/h),Direction du vent,Point de rosée(°C),Facteur vent(°C),Précipitations dernière heure(mm),Précipitations dernières 24 h(mm),Précipitations de la semaine(mm),Précipitations du mois(mm),Précipitations totales(mm),Lumière(lux),UVI,grouped_soil,grouped_resistance,grouped_soil_temp,rolling_mean_grouped_soil,rolling_mean_grouped_soil_temp,hour,minute,date,month,day_of_year,gradient,orig_index,TIME_COPY,638de53168f31919048f189d; 63932c6e68f319085df375b5 / B2_solar_x2_03; Soil_tension / SoilHumiditySensor,638de53168f31919048f189d; 63932c6e68f319085df375b7 / B2_solar_x2_03; Resistance / ,638de53168f31919048f189d; 63932c6e68f319085df375b9 / B2_solar_x2_03; Soil_temperature / SoilThermometer,638de56a68f31919048f189e; 63932ce468f319085df375c9 / B3_solar_x1_02; Soil_tension / SoilHumiditySensor,638de56a68f31919048f189e; 63932ce468f319085df375cb / B3_solar_x1_02; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375ab / B4_solar_x1_03; Soil_tension / SoilHumiditySensor,638de57568f31919048f189f; 63932c3668f319085df375ad / B4_solar_x1_03; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375af / B4_solar_x1_03; Soil_temperature / SoilThermometer,Température extérieure(°C),Humidité extérieure(%),Pression relative(hpa),Pression absolue(hpa),Vitesse du vent(km/h),Rafale(km/h),Direction du vent,Point de rosée(°C),Facteur vent(°C),Précipitations dernière heure(mm),Précipitations dernières 24 h(mm),Précipitations de la semaine(mm),Précipitations du mois(mm),Précipitations totales(mm),Lumière(lux),UVI,grouped_soil,grouped_resistance,grouped_soil_temp,rolling_mean_grouped_soil,rolling_mean_grouped_soil_temp,hour,minute,date,month,day_of_year,gradient,orig_index,TIME_COPY,638de53168f31919048f189d; 63932c6e68f319085df375b5 / B2_solar_x2_03; Soil_tension / SoilHumiditySensor,638de53168f31919048f189d; 63932c6e68f319085df375b7 / B2_solar_x2_03; Resistance / ,638de53168f31919048f189d; 63932c6e68f319085df375b9 / B2_solar_x2_03; Soil_temperature / SoilThermometer,638de56a68f31919048f189e; 63932ce468f319085df375c9 / B3_solar_x1_02; Soil_tension / SoilHumiditySensor,638de56a68f31919048f189e; 63932ce468f319085df375cb / B3_solar_x1_02; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375ab / B4_solar_x1_03; Soil_tension / SoilHumiditySensor,638de57568f31919048f189f; 63932c3668f319085df375ad / B4_solar_x1_03; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375af / B4_solar_x1_03; Soil_temperature / SoilThermometer,Température extérieure(°C),Humidité extérieure(%),Pression relative(hpa),Pression absolue(hpa),Vitesse du vent(km/h),Rafale(km/h),Direction du vent,Point de rosée(°C),Facteur vent(°C),Précipitations dernière heure(mm),Précipitations dernières 24 h(mm),Précipitations de la semaine(mm),Précipitations du mois(mm),Précipitations totales(mm),Lumière(lux),UVI,grouped_soil,grouped_resistance,grouped_soil_temp,rolling_mean_grouped_soil,rolling_mean_grouped_soil_temp,hour,minute,date,month,day_of_year,gradient,orig_index,TIME_COPY
2023-04-28 23:50:00,0.0,42.2,24.5,0.0,51.9,6.2,86.3,25.0,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.066666666666667,60.133333333333326,24.75,2.093598312200562,24.839597701593366,23,50,28,4,118,0.12730264905098476,4027,2023-04-28 23:50:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:00:00,0.0,44.3,23.8,0.0,59.5,10.4,103.2,23.5,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,3.466666666666667,69.0,23.65,2.3551384759069554,24.58815051522018,0,0,29,4,119,0.13888517629756225,4028,2023-04-29 00:00:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:10:00,0.0,42.2,24.5,0.0,51.9,6.4,87.4,24.9,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.5,24.7,2.3713686647956864,24.535877298951974,0,10,29,4,119,0.014595506937209235,4029,2023-04-29 00:10:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:20:00,0.0,42.2,24.5,0.0,51.9,6.4,87.4,24.9,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.5,24.7,2.384329489781374,24.510953115956486,0,20,29,4,119,0.010531567769721528,4030,2023-04-29 00:20:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:30:00,0.0,42.2,24.4,0.0,51.9,6.4,87.4,24.9,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.5,24.65,2.3924318003351295,24.485877298951973,0,30,29,4,119,0.002535677764739619,4031,2023-04-29 00:30:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:40:00,0.0,42.2,24.3,0.0,52.4,6.4,87.4,24.8,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.666666666666664,24.55,2.389400845310853,24.459342920122705,0,40,29,4,119,-0.1295492335008981,4032,2023-04-29 00:40:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 00:50:00,0.0,42.7,24.3,0.0,52.4,6.4,87.4,24.8,15.9,60.0,1017.6,952.2,1.1,2.5,270.0,8.2,15.9,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.833333333333336,24.55,2.1333333333333333,24.630201149203316,0,50,29,4,119,-0.12803375598875988,4033,2023-04-29 00:50:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 01:00:00,0.0,42.7,24.3,0.0,52.4,6.4,87.4,24.8,14.2,64.0,1016.7,951.3,3.6,5.0,292.5,7.5,14.2,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.833333333333336,24.55,2.1333333333333333,24.59920023329252,1,0,29,4,119,0.0,4034,2023-04-29 01:00:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 01:10:00,0.0,42.7,24.2,0.0,52.9,6.4,87.4,24.8,14.2,64.0,1016.7,951.3,3.6,5.0,292.5,7.5,14.2,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,61.0,24.5,2.1333333333333333,24.55960253169916,1,10,29,4,119,0.0,4035,2023-04-29 01:10:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
2023-04-29 01:20:00,0.0,42.2,24.2,0.0,52.9,6.4,87.4,24.8,14.2,64.0,1016.7,951.3,3.6,5.0,292.5,7.5,14.2,0.0,0.0,0.0,0.0,14.4,0.0,0.0,2.1333333333333333,60.833333333333336,24.5,2.1333333333333333,24.53020114920332,1,20,29,4,119,0.0,4036,2023-04-29 01:20:00,0.5,56.7,19.0,4.2,77.8,10.1,111.5,19.4,21.5,22.0,1013.7,948.3,11.2,15.8,0.0,-1.1,19.9,0.0,0.0,0.0,0.0,14.4,52496.6,6.0,4.933333333333334,82.0,19.2,4.9001373195394065,19.139803680902475,10,20,15,4,105,0.016133488861680867,2074,2023-04-15 10:20:00,0.0,51.3,22.3,2.6,71.1,10.8,114.0,23.0,28.5,25.0,1020.6,955.2,3.6,5.0,180.0,6.6,28.5,0.0,0.0,0.0,0.0,14.4,124400.6,10.0,4.466666666666667,78.8,22.65,4.480399078336108,22.639597701593363,9,50,28,4,118,0.0029342549972262155,3943,2023-04-28 09:50:00
