NO.;Heure;Intervalle;Température intérieure(°C);Humidité intérieure(%);Température extérieure(°C);Humidité extérieure(%);Pression relative(hpa);Pression absolue(hpa);Vitesse du vent(km/h);Rafale(km/h);Direction du vent;Point de rosée(°C);Facteur vent(°C);Précipitations dernière heure(mm);Précipitations dernières 24 h(mm);Précipitations de la semaine(mm);Précipitations du mois(mm);Précipitations totales(mm);Lumière(lux);UVI
1; 01/04/2023 00:03:43;5; 15.6;41; 10.2;58; 1015.6; 953.3; 2.5; 3.6; W; 2.3; 10.2; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
2; 01/04/2023 00:08:43;5; 15.6;41; 10.3;58; 1015.5; 953.2; 3.6; 5.0; NW; 2.4; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
3; 01/04/2023 00:13:43;5; 15.5;40; 10.4;55; 1015.5; 953.2; 2.5; 5.0; W; 1.8; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
4; 01/04/2023 00:18:43;5; 15.5;40; 10.3;54; 1015.6; 953.3; 3.6; 6.1; W; 1.4; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
5; 01/04/2023 00:23:43;5; 15.5;40; 10.3;54; 1015.5; 953.2; 3.6; 5.0; NW; 1.4; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
6; 01/04/2023 00:28:43;5; 15.5;40; 10.4;54; 1015.6; 953.3; 3.6; 5.0; NW; 1.5; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
7; 01/04/2023 00:33:43;5; 15.4;40; 10.4;54; 1015.6; 953.3; 5.0; 7.2; W; 1.5; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
8; 01/04/2023 00:38:43;5; 15.4;40; 10.4;53; 1015.6; 953.3; 3.6; 6.1; W; 1.2; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
9; 01/04/2023 00:43:43;5; 15.4;40; 10.4;53; 1015.6; 953.3; 2.5; 3.6; NW; 1.2; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
10; 01/04/2023 00:48:43;5; 15.2;40; 10.3;53; 1015.6; 953.3; 5.0; 6.1; WNW; 1.2; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
11; 01/04/2023 00:53:43;5; 15.2;40; 10.3;53; 1015.5; 953.2; 3.6; 5.0; WSW; 1.2; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
12; 01/04/2023 00:58:43;5; 15.2;40; 10.3;53; 1015.4; 953.1; 3.6; 5.0; W; 1.2; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
13; 01/04/2023 01:03:43;5; 15.1;40; 10.3;53; 1015.5; 953.2; 5.0; 7.2; NW; 1.2; 10.3; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
14; 01/04/2023 01:08:43;5; 15.0;40; 10.4;53; 1015.6; 953.3; 5.0; 7.2; W; 1.2; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
15; 01/04/2023 01:13:43;5; 15.0;40; 10.5;53; 1015.6; 953.3; 3.6; 6.1; SW; 1.3; 10.5; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
16; 01/04/2023 01:18:43;5; 15.0;40; 10.6;52; 1015.4; 953.1; 6.1; 8.6; W; 1.2; 10.6; 0.00; 0.00; 7.50; 0.00; 14.40; 0.0;0
17; 01/04/2023 01:23:43;5; 14.9;41; 10.7;52; 1015.4; 953.1; 3.6; 6.1; W; 1.3; 10.7; 0.00; 0.00; 7.50; 0.00; 14.40; 33.5;0
18; 01/04/2023 01:28:43;5; 14.9;41; 10.9;51; 1015.4; 953.1; 3.6; 3.6; NW; 1.2; 10.9; 0.00; 0.00; 7.50; 0.00; 14.40; 494.1;0
19; 01/04/2023 01:33:43;5; 14.9;41; 10.7;51; 1015.3; 953.0; 2.5; 3.6; NW; 1.0; 10.7; 0.00; 0.00; 7.50; 0.00; 14.40; 972.3;0
20; 01/04/2023 01:38:43;5; 14.9;41; 10.6;51; 1015.5; 953.2; 2.5; 5.0; W; 0.9; 10.6; 0.00; 0.00; 7.50; 0.00; 14.40; 1567.8;0
21; 01/04/2023 01:43:43;5; 14.9;41; 10.4;52; 1015.4; 953.1; 6.1; 8.6; NW; 1.0; 10.4; 0.00; 0.00; 7.50; 0.00; 14.40; 2529.3;0
22; 01/04/2023 01:48:43;5; 14.8;41; 10.8;52; 1015.5; 953.2; 5.0; 6.1; W; 1.3; 10.8; 0.00; 0.00; 7.50; 0.00; 14.40; 3078.7;0
23; 01/04/2023 01:53:43;5; 14.8;41; 11.3;51; 1015.4; 953.1; 3.6; 6.1; NW; 1.5; 11.3; 0.00; 0.00; 7.50; 0.00; 14.40; 3601.3;1
24; 01/04/2023 01:58:43;5; 14.8;41; 11.6;50; 1015.4; 953.1; 3.6; 5.0; WSW; 1.5; 11.6; 0.00; 0.00; 7.50; 0.00; 14.40; 4110.5;1
25; 01/04/2023 02:03:43;5; 14.8;41; 11.9;50; 1015.3; 953.0; 5.0; 7.2; SW; 1.8; 11.9; 0.00; 0.00; 7.50; 0.00; 14.40; 4814.0;1
26; 01/04/2023 02:08:43;5; 14.8;41; 11.9;50; 1015.3; 953.0; 3.6; 6.1; W; 1.8; 11.9; 0.00; 0.00; 7.50; 0.00; 14.40; 5189.2;1
