iter	Passed	Remaining
0	70	70446
1	72	36022
2	73	24510
3	75	18806
4	77	15330
5	78	13025
6	80	11361
7	81	10148
8	83	9163
9	84	8381
10	86	7761
11	87	7231
12	89	6776
13	90	6385
14	92	6063
15	94	5801
16	96	5572
17	98	5365
18	100	5167
19	101	4989
20	103	4831
21	105	4676
22	106	4529
23	108	4414
24	110	4297
25	111	4190
26	113	4092
27	115	4016
28	117	3937
29	119	3849
30	120	3774
31	122	3695
32	123	3632
33	125	3562
34	127	3506
35	129	3458
36	130	3406
37	132	3353
38	134	3307
39	135	3260
40	137	3216
41	139	3173
42	140	3136
43	142	3103
44	144	3074
45	146	3040
46	148	3004
47	150	2980
48	152	2958
49	154	2935
50	156	2910
51	158	2887
52	160	2859
53	161	2827
54	163	2805
55	164	2780
56	167	2763
57	168	2737
58	170	2717
59	172	2694
60	173	2672
61	175	2654
62	177	2634
63	178	2613
64	180	2594
65	182	2577
66	183	2562
67	185	2546
68	187	2528
69	189	2515
70	191	2500
71	192	2487
72	194	2473
73	196	2462
74	198	2447
75	200	2433
76	201	2419
77	203	2402
78	204	2389
79	206	2376
80	208	2363
81	210	2351
82	211	2338
83	213	2327
84	215	2315
85	216	2303
86	218	2291
87	220	2280
88	221	2269
89	223	2257
90	224	2247
91	226	2237
92	228	2228
93	230	2216
94	231	2205
95	233	2194
96	234	2186
97	236	2176
98	238	2174
99	240	2168
100	243	2165
101	245	2162
102	247	2157
103	249	2145
104	250	2137
105	252	2131
106	254	2124
107	256	2115
108	258	2109
109	260	2104
110	261	2096
111	263	2088
112	265	2083
113	267	2080
114	270	2079
115	272	2074
116	274	2069
117	276	2068
118	278	2063
119	280	2056
120	282	2049
121	283	2043
122	286	2041
123	288	2035
124	289	2026
125	290	2018
126	292	2009
127	293	2001
128	295	1995
129	297	1990
130	299	1983
131	300	1977
132	302	1970
133	303	1964
134	305	1958
135	307	1951
1136	346	21831137	349	21811138	351	21751139	353	2169
140	355	2167
141	358	2163
142	360	2157
143	362	2156
144	364	2150
145	366	2145
146	368	2138
147	370	2133
148	372	2129
149	374	2123
150	376	2118
151	378	2113
152	380	2107
153	382	2102
154	384	2096
155	386	2091
156	388	2087
157	390	2083
158	393	2079
159	395	2073
160	396	2068
161	398	2061
162	400	2056
163	402	2051
164	404	2047
165	406	2041
166	408	2037
167	410	2033
168	412	2029
169	414	2025
170	416	2021
171	419	2018
172	421	2014
173	423	2010
174	425	2006
175	427	2001
176	429	1996
177	431	1994
178	433	1990
179	436	1986
180	438	1983
181	440	1979
182	442	1974
183	444	1971
184	446	1965
185	448	1960
186	449	1955
187	451	1952
188	453	1947
189	455	1942
190	457	1937
191	459	1934
192	461	1929
193	463	1925
194	465	1920
195	467	1916
196	468	1911
197	470	1907
198	472	1902
199	474	1899
200	477	1897
201	479	1893
202	481	1891
203	484	1890
204	486	1886
205	488	1883
206	490	1880
207	492	1876
208	494	1872
209	496	1867
210	498	1864
211	501	1862
212	503	1860
213	505	1855
214	507	1852
215	509	1849
216	511	1846
217	513	1842
218	515	1839
219	518	1839
220	520	1835
221	522	1832
222	524	1827
223	526	1825
224	529	1822
225	531	1820
226	533	1816
227	535	1812
228	537	1810
229	539	1807
230	541	1804
231	543	1800
232	547	1800
233	549	1799
234	552	1799
235	555	1797
236	558	1796
237	563	1803
238	566	1802
239	568	1800
240	571	1801
241	574	1798
242	576	1795
243	578	1792
244	580	1789
245	583	1787
246	584	1783
247	587	1781
248	590	1780
249	592	1776
250	594	1772
251	596	1769
252	598	1766
253	600	1762
254	602	1759
255	604	1756
256	606	1754
257	608	1751
258	611	1748
259	613	1747
260	616	1744
261	618	1741
262	620	1739
263	622	1736
264	625	1734
265	627	1732
266	630	1729
267	632	1727
268	634	1724
269	636	1721
270	638	1717
271	641	1716
272	643	1713
273	645	1710
274	647	1707
275	649	1704
276	652	1702
277	654	1699
278	656	1695
279	657	1691
280	660	1688
281	662	1685
282	664	1682
283	666	1679
284	668	1676
285	670	1673
286	672	1670
287	674	1667
288	676	1665
289	678	1661
290	680	1658
291	682	1656
292	684	1652
293	686	1648
294	688	1646
295	690	1643
296	693	1640
297	695	1637
298	697	1634
299	699	1632
300	701	1629
301	703	1625
302	705	1622
303	707	1619
304	709	1616
305	711	1613
306	713	1609
307	715	1608
308	717	1604
309	719	1601
310	721	1597
311	723	1596
312	725	1593
313	727	1590
314	730	1587
315	732	1584
316	734	1581
317	736	1578
318	738	1576
319	740	1573
320	742	1570
321	744	1566
322	746	1565
323	748	1562
324	750	1559
325	753	1557
326	755	1555
327	758	1553
328	760	1551
329	763	1549
330	765	1547
331	767	1544
332	769	1541
333	771	1538
334	773	1535
335	775	1533
336	777	1529
337	780	1527
338	782	1524
339	783	1521
340	785	1517
341	787	1514
342	789	1511
343	790	1508
344	792	1504
345	794	1501
346	796	1498
347	797	1494
348	799	1491
349	801	1488
