Time,638de53168f31919048f189d; 63932c6e68f319085df375b5 / B2_solar_x2_03; Soil_tension / SoilHumiditySensor,638de53168f31919048f189d; 63932c6e68f319085df375b7 / B2_solar_x2_03; Resistance / ,638de53168f31919048f189d; 63932c6e68f319085df375b9 / B2_solar_x2_03; Soil_temperature / SoilThermometer,638de56a68f31919048f189e; 63932ce468f319085df375c9 / B3_solar_x1_02; Soil_tension / SoilHumiditySensor,638de56a68f31919048f189e; 63932ce468f319085df375cb / B3_solar_x1_02; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375ab / B4_solar_x1_03; Soil_tension / SoilHumiditySensor,638de57568f31919048f189f; 63932c3668f319085df375ad / B4_solar_x1_03; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375af / B4_solar_x1_03; Soil_temperature / SoilThermometer
2023-02-08 16:00:00+01:00,5.93,84.3,12.0,12.3,122.67,9.8,129.5,12.6
2023-02-08 17:00:00+01:00,5.97,84.3,12.0,12.3,122.8,9.82,129.63,12.6
2023-02-08 18:00:00+01:00,6.0,84.3,11.97,12.3,122.88,9.82,129.57,12.6
2023-02-08 19:00:00+01:00,6.05,84.58,11.85,12.32,123.32,9.82,129.73,12.6
2023-02-08 20:00:00+01:00,6.02,84.4,11.78,12.35,123.72,9.83,129.87,12.52
2023-02-08 21:00:00+01:00,6.07,84.7,11.63,12.4,124.4,9.82,130.12,12.5
2023-02-08 22:00:00+01:00,6.13,85.07,11.58,12.4,124.98,9.8,130.03,12.42
2023-02-08 23:00:00+01:00,6.2,85.42,11.47,12.47,125.53,9.83,130.65,12.32
2023-02-09 00:00:00+01:00,6.2,85.48,11.33,12.5,126.15,9.83,131.0,12.28
2023-02-09 01:00:00+01:00,6.23,85.58,11.25,12.5,126.48,9.85,131.22,12.15
2023-02-09 02:00:00+01:00,6.28,85.74,11.1,12.53,127.18,9.88,131.95,12.08
2023-02-09 03:00:00+01:00,6.42,86.17,11.07,12.6,127.8,9.9,132.27,12.02
2023-02-09 04:00:00+01:00,6.45,86.42,11.0,12.6,128.02,9.88,132.53,12.0
2023-02-09 05:00:00+01:00,6.5,86.6,10.95,12.6,128.3,9.87,132.92,11.92
2023-02-09 06:00:00+01:00,6.5,86.6,10.87,12.6,129.05,9.9,132.9,11.85
2023-02-09 07:00:00+01:00,6.53,86.83,10.78,12.6,129.48,9.9,133.27,11.78
2023-02-09 08:00:00+01:00,6.63,87.23,10.63,12.7,130.42,9.9,133.82,11.67
2023-02-09 09:00:00+01:00,6.8,87.8,10.52,12.7,131.0,9.9,134.07,11.58
2023-02-09 10:00:00+01:00,6.82,87.93,10.5,12.73,131.52,9.9,134.78,11.5
2023-02-09 11:00:00+01:00,6.9,88.4,10.58,12.72,131.05,9.9,134.88,11.5
2023-02-09 12:00:00+01:00,6.88,88.28,10.84,12.72,130.82,9.9,134.9,11.5
2023-02-09 13:00:00+01:00,6.87,88.2,11.08,12.65,129.53,9.9,135.24,11.62
2023-02-09 14:00:00+01:00,6.82,87.97,11.45,12.6,128.58,9.9,134.18,11.8
2023-02-09 15:00:00+01:00,6.64,87.42,11.88,12.55,127.47,9.9,133.35,12.05
2023-02-09 16:00:00+01:00,5.68,83.25,12.3,12.38,124.42,9.88,132.32,12.33
2023-02-09 17:00:00+01:00,2.12,67.78,12.7,12.0,116.53,9.75,127.5,12.65
2023-02-09 18:00:00+01:00,0.32,57.7,12.8,11.6,109.08,9.58,122.4,12.82
2023-02-09 19:00:00+01:00,0.0,53.18,12.8,11.32,103.13,9.43,117.75,13.0
2023-02-09 20:00:00+01:00,0.0,52.12,12.63,8.88,98.22,9.24,113.46,13.0
2023-02-09 21:00:00+01:00,0.0,51.87,12.52,8.15,95.03,9.12,110.07,12.92
2023-02-09 22:00:00+01:00,0.0,51.95,12.33,7.52,92.32,9.02,107.68,12.82
2023-02-09 23:00:00+01:00,0.0,51.62,12.17,6.92,89.75,8.93,106.0,12.78
2023-02-10 00:00:00+01:00,0.0,51.95,12.03,6.58,88.25,8.83,104.43,12.62
2023-02-10 01:00:00+01:00,0.0,52.2,11.88,6.38,87.42,8.8,103.5,12.6
2023-02-10 02:00:00+01:00,0.0,52.2,11.66,6.08,86.18,8.77,102.72,12.47
2023-02-10 03:00:00+01:00,0.0,52.32,11.53,6.0,85.8,8.7,102.02,12.32
2023-02-10 04:00:00+01:00,0.0,53.0,11.36,6.0,85.8,8.7,101.97,12.15
2023-02-10 05:00:00+01:00,0.0,53.3,11.15,6.0,85.8,8.7,101.92,12.05
2023-02-10 06:00:00+01:00,0.0,53.3,10.98,6.0,85.8,8.7,102.0,11.95
2023-02-10 07:00:00+01:00,0.0,53.67,10.85,6.0,85.8,8.68,102.57,11.8
2023-02-10 08:00:00+01:00,0.0,54.32,10.67,6.13,86.47,8.7,103.02,11.63
2023-02-10 09:00:00+01:00,0.0,54.48,10.55,6.25,86.73,8.7,103.23,11.55
2023-02-10 10:00:00+01:00,0.0,54.48,10.5,6.3,86.98,8.7,104.43,11.43
2023-02-10 11:00:00+01:00,0.4,55.33,10.4,6.3,87.0,8.7,104.63,11.32
2023-02-10 12:00:00+01:00,0.58,55.6,10.38,6.33,87.17,8.7,104.42,11.3
2023-02-10 13:00:00+01:00,0.6,55.5,10.43,6.32,87.08,8.7,105.02,11.25
2023-02-10 14:00:00+01:00,0.6,55.5,10.58,6.3,87.0,8.7,105.33,11.28
2023-02-10 15:00:00+01:00,0.6,55.52,10.77,6.28,86.92,8.7,105.05,11.35
2023-02-10 16:00:00+01:00,0.6,55.52,10.98,6.2,86.7,8.7,104.62,11.48
2023-02-10 17:00:00+01:00,0.6,55.5,11.08,6.27,86.82,8.7,104.48,11.57
2023-02-10 18:00:00+01:00,0.6,55.5,11.1,6.27,86.82,8.7,104.3,11.65
2023-02-10 19:00:00+01:00,0.6,55.5,11.12,6.3,86.93,8.72,104.45,11.73
2023-02-10 20:00:00+01:00,0.58,55.6,11.1,6.3,86.98,8.7,104.48,11.72
2023-02-10 21:00:00+01:00,0.5,55.98,11.07,6.32,87.08,8.73,104.72,11.7
2023-02-10 22:00:00+01:00,0.33,56.52,11.0,6.48,88.0,8.77,105.25,11.63
2023-02-10 23:00:00+01:00,0.3,56.62,10.93,6.5,88.1,8.8,105.68,11.6
2023-02-11 00:00:00+01:00,0.28,57.16,10.74,6.52,88.12,8.8,106.22,11.52
2023-02-11 01:00:00+01:00,0.25,56.88,10.8,6.75,88.93,8.8,106.15,11.53
2023-02-11 02:00:00+01:00,0.27,56.87,10.68,6.8,89.23,8.8,106.77,11.5
2023-02-11 03:00:00+01:00,0.13,57.53,10.62,6.85,89.55,8.8,106.88,11.48
2023-02-11 04:00:00+01:00,0.1,57.7,10.57,7.0,90.08,8.8,107.42,11.4
2023-02-11 05:00:00+01:00,0.1,57.7,10.5,7.1,90.4,8.8,107.95,11.3
2023-02-11 06:00:00+01:00,0.1,57.7,10.5,7.12,90.5,8.8,108.23,11.25
2023-02-11 07:00:00+01:00,0.07,57.9,10.48,7.17,90.83,8.8,108.22,11.23
2023-02-11 08:00:00+01:00,0.07,58.63,10.42,7.28,91.42,8.8,108.43,11.22
2023-02-11 09:00:00+01:00,0.1,58.8,10.37,7.4,91.6,8.8,109.1,11.15
2023-02-11 10:00:00+01:00,0.1,58.8,10.32,7.43,91.8,8.82,109.2,11.12
2023-02-11 11:00:00+01:00,0.12,58.92,10.34,7.5,92.18,8.8,109.2,11.1
2023-02-11 12:00:00+01:00,0.24,59.6,10.44,7.52,92.27,8.8,109.3,11.1
2023-02-11 13:00:00+01:00,0.23,59.57,10.53,7.43,91.85,8.87,109.4,11.17
2023-02-11 14:00:00+01:00,0.3,59.9,10.7,7.36,91.54,8.9,109.4,11.25
2023-02-11 15:00:00+01:00,0.32,59.98,10.93,7.3,91.4,8.9,109.33,11.38
2023-02-11 16:00:00+01:00,0.28,59.8,11.12,7.15,90.77,8.9,109.32,11.52
